City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Turbat,PK,26.0023,63.044,93.33,53,100,14.12,overcast clouds
1,Tazovskiy,RU,67.4667,78.7,59.22,81,43,15.48,light rain
2,Snizhne,UA,48.0261,38.7723,86.2,37,12,11.18,few clouds
3,Tasiilaq,GL,65.6145,-37.6368,57.36,65,60,2.39,broken clouds
4,Oriximina,BR,-1.7656,-55.8661,87.31,48,91,2.66,overcast clouds
5,Lethem,GY,3.3803,-59.7968,78.84,78,96,4.59,overcast clouds
6,Vilcun,CL,-38.65,-72.2333,38.14,69,0,0.96,clear sky
7,Ushuaia,AR,-54.8,-68.3,47.82,42,40,20.71,scattered clouds
8,Maniitsoq,GL,65.4167,-52.9,45.91,78,99,1.61,overcast clouds
9,Chuy,UY,-33.6971,-53.4616,46.65,66,14,12.57,few clouds
10,Hermanus,ZA,-34.4187,19.2345,59.81,78,83,8.43,broken clouds
11,Klaksvik,FO,62.2266,-6.589,58.12,95,100,7.9,overcast clouds
12,Bulawayo,ZW,-20.15,28.5833,70.63,24,9,9.62,clear sky
13,Maceio,BR,-9.6658,-35.7353,83.64,61,40,5.75,scattered clouds
14,Velasco Ibarra,EC,-1.05,-79.6167,71.69,90,100,4.23,overcast clouds
15,Severodvinsk,RU,64.5635,39.8302,64.51,72,100,10.07,light rain
16,Busselton,AU,-33.65,115.3333,52.09,67,100,29.26,overcast clouds
17,Ribeira Grande,PT,38.5167,-28.7,75.6,73,75,12.66,broken clouds
18,Longyearbyen,SJ,78.2186,15.6401,46.24,71,75,9.22,broken clouds
19,Viedma,AR,-40.8135,-62.9967,52.5,36,0,6.06,clear sky
20,Castro,BR,-24.7911,-50.0119,40.78,43,3,8.72,clear sky
21,Boda,CF,4.3189,17.4695,84.36,58,61,4.36,light rain
22,Dingle,PH,10.9995,122.6711,78.37,88,100,6.76,overcast clouds
23,Bredasdorp,ZA,-34.5322,20.0403,59.29,79,100,5.95,overcast clouds
24,Dikson,RU,73.5069,80.5464,42.04,85,100,15.95,overcast clouds
25,Hof,DE,50.3167,11.9167,76.44,48,0,14.97,clear sky
26,Olafsvik,IS,64.8945,-23.7142,53.98,86,87,10.85,overcast clouds
27,Jamestown,US,42.097,-79.2353,68.07,95,90,8.01,moderate rain
28,East London,ZA,-33.0153,27.9116,65.34,63,0,20.71,clear sky
29,Puerto Cabezas,NI,14.0351,-83.3888,84.16,84,75,4.61,broken clouds
30,Cape Town,ZA,-33.9258,18.4232,60.12,90,75,6.91,light intensity drizzle
31,Markala,ML,13.7021,-6.0659,90.18,48,63,1.79,broken clouds
32,Margate,GB,51.3813,1.3862,72.7,45,37,4.0,scattered clouds
33,Nanortalik,GL,60.1432,-45.2371,47.14,81,64,11.25,broken clouds
34,Jalu,LY,29.0331,21.5482,99.88,16,0,7.16,clear sky
35,Shache,CN,38.4167,77.2406,93.45,13,0,3.49,clear sky
36,Marsa Matruh,EG,31.3525,27.2453,86.2,58,0,14.97,clear sky
37,Gobabis,NA,-22.45,18.9667,71.53,13,0,13.73,clear sky
38,Boa Vista,BR,2.8197,-60.6733,76.98,78,90,3.44,overcast clouds
39,Sept-Iles,CA,50.2001,-66.3821,65.05,67,75,1.99,broken clouds
40,Richards Bay,ZA,-28.783,32.0377,71.29,36,0,9.71,clear sky
41,Ambilobe,MG,-13.2,49.05,76.35,64,57,4.45,broken clouds
42,Cururupu,BR,-1.8283,-44.8683,88.09,55,4,5.26,clear sky
43,Hamilton,US,39.1834,-84.5333,80.42,87,1,1.99,mist
44,Binika,IN,21.0333,83.8,76.98,85,100,13.4,light rain
45,Vila Velha,BR,-20.3297,-40.2925,64.35,82,75,18.41,broken clouds
46,Maiduguri,NG,11.8464,13.1603,79.75,71,98,3.83,overcast clouds
47,Port-Gentil,GA,-0.7193,8.7815,82.36,69,40,16.11,scattered clouds
48,Ponnani,IN,10.767,75.9252,79.92,84,100,8.19,overcast clouds
49,Qaanaaq,GL,77.484,-69.3632,44.71,89,100,13.47,light rain
50,Bengkulu,ID,-3.8004,102.2655,78.39,86,84,8.61,broken clouds
51,Alvaraes,BR,-3.2208,-64.8042,76.87,71,100,3.44,overcast clouds
52,Ndele,CF,8.4109,20.6473,83.89,59,27,6.31,scattered clouds
53,Thinadhoo,MV,0.5333,72.9333,82.31,71,99,5.82,overcast clouds
54,Juterbog,DE,51.9833,13.0833,75.85,49,100,13.98,overcast clouds
55,Swellendam,ZA,-34.0226,20.4417,55.33,70,100,5.17,overcast clouds
56,Altea,ES,38.5989,-0.0514,87.21,68,4,7.05,clear sky
57,La Ligua,CL,-32.4524,-71.2311,42.58,33,0,1.14,clear sky
58,Shahkot,IN,31.0775,75.3372,83.14,81,6,3.62,clear sky
59,Bubaque,GW,11.2833,-15.8333,76.39,87,100,12.41,moderate rain
60,Gambissara,SN,13.2382,-14.3108,84.87,67,93,3.31,overcast clouds
61,Upernavik,GL,72.7868,-56.1549,42.57,97,100,20.07,light rain
62,Saint George,US,37.1041,-113.5841,86.63,42,1,1.01,clear sky
63,Rondonopolis,BR,-16.4708,-54.6356,68.63,16,1,8.52,clear sky
64,Qandala,SO,11.472,49.8728,90.52,55,76,7.45,broken clouds
65,Nohar,IN,29.1833,74.7667,92.93,55,99,8.05,overcast clouds
66,Galle,LK,6.0367,80.217,80.02,87,99,12.86,overcast clouds
67,Lagoa,PT,39.05,-27.9833,70.21,81,76,7.05,broken clouds
68,Roros,NO,62.5747,11.3842,67.84,56,0,2.3,clear sky
69,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,57,100,24.63,overcast clouds
70,Nouadhibou,MR,20.931,-17.0347,76.98,69,0,17.27,clear sky
71,Kroonstad,ZA,-27.6504,27.2349,67.77,20,0,9.48,clear sky
72,Conceicao Do Araguaia,BR,-8.2578,-49.2647,89.73,35,0,13.8,clear sky
73,Nizwa,OM,22.9333,57.5333,103.46,24,56,9.26,broken clouds
74,Diffa,NE,13.3154,12.6113,89.15,47,76,2.04,broken clouds
75,Mikkeli,FI,61.6886,27.2723,68.14,83,20,11.5,shower rain
76,Hithadhoo,MV,-0.6,73.0833,81.28,76,100,8.32,overcast clouds
77,Hillside,US,40.7012,-74.2301,78.71,74,90,1.99,overcast clouds
78,Dilla,ET,6.41,38.31,70.45,65,99,6.78,overcast clouds
79,Port Alfred,ZA,-33.5906,26.891,64.98,60,6,26.87,clear sky
80,Aktash,RU,50.3,87.7333,48.74,61,87,3.94,overcast clouds
81,Georgetown,MY,5.4112,100.3354,84.13,81,20,1.01,few clouds
82,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,46,17.63,light rain
83,Birao,CF,10.2849,22.7882,89.31,52,52,4.0,broken clouds
84,Santa Rosa,PH,14.3122,121.1114,83.91,85,99,5.32,overcast clouds
85,Sinnamary,GF,5.3833,-52.95,82.51,73,3,5.17,clear sky
86,Husavik,IS,66.0449,-17.3389,51.71,96,100,1.79,overcast clouds
87,Maragogi,BR,-9.0122,-35.2225,79.14,71,15,4.83,few clouds
88,Mahebourg,MU,-20.4081,57.7,70.25,78,40,17.27,light rain
89,Chissamba,AO,-12.1667,17.3333,78.98,13,0,4.12,clear sky
90,Cidreira,BR,-30.1811,-50.2056,46.8,67,81,17.58,broken clouds
91,Vestmannaeyjar,IS,63.4427,-20.2734,63.59,59,75,2.3,broken clouds
92,Ancud,CL,-41.8697,-73.8203,40.53,83,6,1.7,clear sky
93,Rio Grande,BR,-32.035,-52.0986,48.31,67,10,17.02,clear sky
94,Dabat,ET,12.9842,37.765,60.91,85,99,5.91,light rain
95,Namibe,AO,-15.1961,12.1522,77.63,73,0,13.8,clear sky
96,Jibuti,DJ,11.5,42.5,94.41,32,64,9.28,broken clouds
97,Alta Floresta,BR,-9.8756,-56.0861,73.22,40,0,10.36,clear sky
98,Clarence Town,AU,-32.5833,151.7833,49.8,61,0,3.36,clear sky
99,Saldanha,ZA,-33.0117,17.9442,56.88,82,79,12.62,broken clouds
100,Kutum,SD,14.2,24.6667,88.86,36,95,8.72,overcast clouds
101,Taoudenni,ML,22.6783,-3.9836,109.76,17,6,1.41,clear sky
102,Rumphi,MW,-11.0186,33.8575,73.83,43,33,10.33,scattered clouds
103,Japura,ID,-0.3167,102.35,80.01,69,96,3.53,overcast clouds
104,Maltahohe,NA,-24.8333,16.9833,67.19,17,0,11.88,clear sky
105,Springdale,US,36.1867,-94.1288,86.25,87,1,0.0,clear sky
106,Icod De Los Vinos,ES,28.3724,-16.7119,81.66,63,17,10.76,few clouds
107,Grand-Santi,GF,4.25,-54.3833,85.82,62,11,2.77,few clouds
108,Mehamn,NO,71.0357,27.8492,49.91,85,100,7.96,overcast clouds
109,Sao Filipe,CV,14.8961,-24.4956,75.29,77,88,9.35,overcast clouds
110,Tournon-Sur-Rhone,FR,45.0667,4.8333,87.24,48,0,6.91,clear sky
111,Berlevag,NO,70.8578,29.0864,49.95,71,75,3.44,broken clouds
112,Bielsk Podlaski,PL,52.7651,23.1865,81.25,45,0,11.97,clear sky
113,Bella Vista,US,36.4295,-94.2316,85.98,79,1,4.0,clear sky
114,Pau,FR,43.4167,-0.5833,85.64,65,75,5.75,broken clouds
115,Iqaluit,CA,63.7506,-68.5145,47.93,70,20,3.0,few clouds
116,Nantucket,US,41.2835,-70.0995,76.96,58,1,8.05,clear sky
117,Ormara,PK,25.2088,64.6357,82.09,85,100,18.28,overcast clouds
118,Key West,US,24.5557,-81.7826,91.4,62,1,5.75,clear sky
119,Punta Arenas,CL,-53.15,-70.9167,42.91,75,75,13.8,broken clouds
120,Lebu,CL,-37.6167,-73.65,51.85,62,0,2.89,clear sky
121,Riyadh,SA,24.6877,46.7219,113.14,8,68,12.08,broken clouds
122,Matagami,CA,49.7502,-77.6328,60.91,94,90,6.91,overcast clouds
123,Bud,US,39.447,-86.1758,80.22,85,100,10.58,overcast clouds
124,Vila Franca Do Campo,PT,37.7167,-25.4333,77.41,70,50,6.78,scattered clouds
125,Codrington,AU,-38.2667,141.9667,44.35,72,0,14.41,clear sky
126,Shihezi,CN,44.3,86.0333,87.08,22,3,8.28,clear sky
127,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,40,17.27,light rain
128,Kulhudhuffushi,MV,6.6221,73.07,82.9,73,100,12.21,overcast clouds
129,Caravelas,BR,-17.7125,-39.2481,80.1,60,2,8.19,clear sky
130,Skjervoy,NO,70.0311,20.9714,55.4,82,44,11.54,scattered clouds
131,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,59,40,28.77,scattered clouds
132,Manta,EC,-0.95,-80.7333,76.78,73,20,10.36,few clouds
133,Kovur,IN,14.4833,79.9833,94.05,37,100,16.62,overcast clouds
134,Lusambo,CD,-4.9667,23.45,99.34,16,7,1.81,clear sky
135,San Luis,AR,-33.295,-66.3356,50.43,25,0,12.73,clear sky
136,Ponta Do Sol,PT,32.6667,-17.1,77.63,60,25,4.16,scattered clouds
137,Sisimiut,GL,66.9395,-53.6735,50.54,64,99,3.31,overcast clouds
138,Meiganga,CM,6.5167,14.3,79.79,57,81,5.57,broken clouds
139,Rzhev,RU,56.2624,34.3282,80.06,45,99,9.33,very heavy rain
140,Victoria,HK,22.2855,114.1577,86.38,87,98,1.99,overcast clouds
141,Ondjiva,AO,-17.0667,15.7333,80.64,17,0,4.61,clear sky
142,Torbay,CA,47.6666,-52.7314,64.76,91,90,9.22,overcast clouds
143,Rehoboth,NA,-23.3167,17.0833,71.47,12,0,12.01,clear sky
144,Mar Del Plata,AR,-38.0023,-57.5575,51.01,71,0,9.22,clear sky
145,Bantry,IE,51.6833,-9.45,60.75,86,100,4.47,moderate rain
146,Vigrestad,NO,58.5667,5.7,67.96,75,99,8.32,overcast clouds
147,Cockburn Town,TC,21.4612,-71.1419,87.76,58,40,11.5,scattered clouds
148,Mezen,RU,65.8522,44.24,57.61,52,98,5.64,overcast clouds
149,Cabedelo,BR,-6.9811,-34.8339,84.87,66,43,11.25,scattered clouds
150,Clyde River,CA,70.4692,-68.5914,48.43,76,75,10.36,broken clouds
151,Sao Borja,BR,-28.6606,-56.0044,47.19,52,0,3.65,clear sky
152,Derzhavinsk,KZ,51.1,66.3167,70.09,31,0,11.12,clear sky
153,Pryluky,UA,50.5932,32.3876,85.35,48,75,7.16,broken clouds
154,Lapua,FI,62.9693,23.0088,75.88,58,93,6.31,overcast clouds
155,Murakeresztur,HU,46.3642,16.8818,90.34,27,0,3.29,clear sky
156,Narsaq,GL,60.9167,-46.05,53.82,71,100,5.28,overcast clouds
157,Iskateley,RU,67.6803,53.1512,51.31,69,100,1.92,overcast clouds
158,Santiago Del Estero,AR,-27.7951,-64.2615,51.8,32,0,9.71,clear sky
159,Ambalavao,MG,-21.8333,46.9333,60.6,82,60,6.22,broken clouds
160,Hofn,IS,64.2539,-15.2082,57.22,82,20,8.05,few clouds
161,Saint-Pierre,RE,-21.3393,55.4781,71.28,69,0,26.46,clear sky
162,Veraval,IN,20.9,70.3667,82.09,84,100,23.64,overcast clouds
163,Iquique,CL,-20.2208,-70.1431,57.24,62,59,5.64,broken clouds
164,Umuarama,BR,-23.7664,-53.325,46.38,41,2,8.99,clear sky
165,Panama City,PA,8.9936,-79.5197,87.06,73,40,6.91,scattered clouds
166,Porto Novo,BJ,6.4965,2.6036,84.02,53,32,12.84,scattered clouds
167,Praia Da Vitoria,PT,38.7333,-27.0667,75.45,64,20,8.97,few clouds
168,Luderitz,NA,-26.6481,15.1594,68.79,41,0,21.43,clear sky
169,Acarau,BR,-2.8856,-40.12,87.85,57,24,11.88,few clouds
170,Martinsicuro,IT,42.8811,13.9145,92.95,51,0,8.05,clear sky
171,Grand Gaube,MU,-20.0064,57.6608,70.38,70,86,10.0,overcast clouds
172,Izhma,RU,65.0083,53.9113,54.48,65,99,3.13,overcast clouds
173,Pangnirtung,CA,66.1451,-65.7125,51.8,76,1,11.5,clear sky
174,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,46.36,66,12,12.75,few clouds
175,Faya,SA,18.3851,42.4509,73.51,54,79,11.03,broken clouds
176,Jumla,NP,29.2747,82.1838,64.74,96,100,2.66,light rain
177,Maldonado,UY,-34.6667,-54.9167,46.22,67,17,13.44,few clouds
178,Pavino,RU,59.1139,46.1414,65.79,86,100,10.02,overcast clouds
179,Talcahuano,CL,-36.7167,-73.1167,53.28,58,0,6.91,clear sky
180,Muros,ES,42.7762,-9.0603,78.1,48,0,18.7,clear sky
181,Souillac,MU,-20.5167,57.5167,70.36,78,40,17.27,scattered clouds
182,Finnsnes,NO,69.2296,17.9811,65.01,58,99,4.54,overcast clouds
183,Samarina,RU,57.8878,27.8054,78.69,59,42,7.49,scattered clouds
184,Purpe,RU,64.4803,76.6897,58.62,83,100,14.36,overcast clouds
185,Lolodorf,CM,3.2333,10.7333,80.74,63,85,5.88,overcast clouds
186,Sur,OM,22.5667,59.5289,104.47,33,83,14.43,broken clouds
187,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.85,27,0,4.54,clear sky
188,Kastamonu,TR,41.5,33.6667,77.94,31,0,11.39,clear sky
189,Anjangaon,IN,21.1631,77.3094,77.43,82,100,11.83,overcast clouds
190,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,74.35,32,0,6.62,clear sky
191,Ushtobe,KZ,45.2514,77.9838,79.5,15,0,9.64,clear sky
192,North Myrtle Beach,US,33.816,-78.68,88.09,83,1,1.99,clear sky
193,Salalah,OM,17.0151,54.0924,80.69,83,90,12.66,overcast clouds
194,Paamiut,GL,61.994,-49.6678,41.94,93,100,5.06,overcast clouds
195,Necochea,AR,-38.5473,-58.7368,50.04,49,9,12.55,clear sky
196,Shar,KZ,49.5886,81.0453,70.38,36,100,8.5,overcast clouds
197,Luebo,CD,-5.35,21.4167,98.19,14,2,2.17,clear sky
198,Siavonga,ZM,-16.5382,28.7088,74.17,36,0,3.0,clear sky
199,Vardo,NO,70.3705,31.1107,48.4,85,95,7.65,overcast clouds
200,Nyrob,RU,60.733,56.7202,60.35,60,91,1.63,overcast clouds
201,Saint-Georges,GD,12.0564,-61.7485,78.48,89,75,13.8,broken clouds
202,Krasnoselkup,RU,65.7,82.4667,64.89,60,100,16.04,overcast clouds
203,Villa Carlos Paz,AR,-31.4241,-64.4978,49.89,42,0,11.99,clear sky
204,Oranjemund,NA,-28.55,16.4333,59.45,57,0,17.96,clear sky
205,Akureyri,IS,65.6835,-18.0878,51.73,82,90,2.3,overcast clouds
206,Jaciara,BR,-15.9653,-54.9683,65.97,18,0,9.62,clear sky
207,Sesheke,ZM,-17.4759,24.2968,78.76,16,26,8.01,scattered clouds
208,Funadhoo,MV,6.15,73.2667,83.14,73,90,12.15,overcast clouds
209,Sistranda,NO,63.7256,8.834,66.16,87,77,18.84,broken clouds
210,Atbasar,KZ,51.8,68.3333,67.87,36,1,9.28,clear sky
211,Vathi,GR,38.4,23.6,105.75,13,0,8.05,clear sky
212,Trinidad,BO,-14.8333,-64.9,64.38,34,75,13.8,broken clouds
213,Goure,NE,13.9835,10.2704,91.02,40,99,1.66,overcast clouds
214,Lucea,JM,18.451,-78.1736,85.86,72,40,7.0,scattered clouds
215,Bonavista,CA,48.6499,-53.1147,65.12,93,100,9.26,light rain
216,Hohoe,GH,7.1518,0.4736,86.05,49,36,5.37,scattered clouds
217,Carauari,BR,-4.8828,-66.8958,82.0,46,53,7.7,broken clouds
218,Ajaccio,FR,42.0,8.9167,84.36,58,0,12.66,clear sky
219,Lima,PE,-12.0432,-77.0282,59.25,88,90,2.3,overcast clouds
220,Baghdad,IQ,33.3406,44.4009,111.11,13,0,14.97,clear sky
221,Dhidhdhoo,MV,6.8833,73.1,82.96,74,100,12.33,overcast clouds
222,Kaabong,UG,3.4836,34.1492,70.97,65,91,2.77,light rain
223,Port Elizabeth,ZA,-33.918,25.5701,63.1,67,75,19.57,broken clouds
224,Deblin,PL,51.5591,21.8483,84.02,37,10,10.63,clear sky
225,Ariquemes,BR,-9.9133,-63.0408,71.6,23,2,9.95,clear sky
226,Correntina,BR,-13.3433,-44.6367,84.97,28,0,7.58,clear sky
227,Goderich,CA,43.7501,-81.7165,72.91,88,94,5.75,overcast clouds
228,Junin,AR,-34.5838,-60.9433,50.99,41,0,7.85,clear sky
229,Beyneu,KZ,45.3167,55.2,91.29,17,0,6.85,clear sky
230,Shahrud,IR,36.4182,54.9763,76.17,51,85,14.74,overcast clouds
